메뉴명,요리종류,중량,열량,탄수화물,단백질,지방,나트륨,해쉬태그,재료정보
버섯 두유 소스 볶음,반찬,,285,17,9,20,53,,"버섯볶음
새송이버섯 100g(3개), 올리브유 10g(2작은술)
두유 소스
두유 20g(1⅓큰술), 생크림 10g(2작은술), 청양고추 5g(1/2개), 후추 약간
곁들임
새싹채소 20g"
백일송이버섯 볶음,반찬,,80,10,3,3,11,백일송이,"백일송이버섯볶음
백일송이버섯 65g(1컵), 노랑 파프리카 5g(5×1cm), 빨강 파프리카 5g(5×1cm), 카놀라유 3g(2/3작은술)"
새우단배추된장국,국&찌개,,129.2,2.58,4.83,0.88,774.8,,"재료 마늘(0.3g), 양파(10g), 애호박(20g), 단배추(25g), 대파(5g)
두부(25g), 마른 새우(10g)
육수 무(15g), 멸치(2.5g), 다시마(2.5g), 물(300g)
양념 된장(10g), 표고버섯가루(3g), 날콩가루(10g)"
검은콩보리된장찌개,국&찌개,,84.1,2.2,1.4,0.5,432.7,,"재료 검은콩(30g), 애호박(30g), 양파(20g), 검은콩두부(30g), 표고버섯(5g)
붉은 고추(2g), 청양고추(2g), 대파(5g)
육수 바지락(20g), 멸치(5g), 다시마(1g)
보리된장 보리(20g), 저염된장(20g)"
단호박배추된장국,국&찌개,,109.1,5.03,1.28,0.05,153,,"재료 단호박(190g), 배추(50g), 새송이버섯(30g), 붉은 고추(2g), 된장(3g)
육수 대파(50g), 양파(50g), 물(300g)"
된장냉국,국&찌개,,30.4,1.12,0.73,0.6,69.4,,"재료 가다랑어포(5g), 오이(5g), 깻잎(1g)
육수 무(50g), 다시마(1g), 대파(10g), 물(500g)
된장양념 콩가루(1g), 설탕(1.5g), 식초(2g), 다진 대파(0.5g), 다진 마늘(0.5g)
다진 양파(0.5g), 다진 청양고추(1g), 저염된장(1g), 참기름(3g)"
들깨된장육개장,국&찌개,,123.4,2.37,2.41,0.26,525.7,사태,"재료 숙주(30g), 느타리버섯(25g), 양파(25g), 대파(10g)
청양고추(2g), 얼갈이배추(25g)
육수 무(50g), 돼지고기(사태, 25g), 다시마(2g), 청주(1g)
보리새우(3g), 물(300g)
양념장 고춧가루(1g), 들깻가루(5g), 다진 마늘(3g), 된장(10g)"
삼색묵냉국,국&찌개,,120.6,5.77,0.87,0.01,659,메밀묵,"재료 도토리묵(50g), 메밀묵(50g), 청포묵(50g), 미니양배추(11g), 적양파(5g)
양파(8g), 오이(8g), 래디시(3g), 당근(5g), 아스파라거스(8g), 파프리카(8g)
붉은 고추(2g), 풋고추(2g), 달걀(30g), 목이버섯(3g), 쑥갓(5g)
육수 무(5g), 다시마(5g), 멸치(10g), 대파(5g), 마늘(5g), 생강(5g)
쇠고기(5g), 물(300g)
양념 미소된장(3g), 들깻가루(5g), 참깨(5g), 검은깨(5g)"
샤브된장국,국&찌개,,218.9,2.34,3.13,5.03,299.9,가슴살,"재료 우삼겹(50g), 깻잎(7.5g), 느타리버섯(20g), 팽이버섯(20g)
쪽파(10g), 송송 썬 청양고추(3g), 송송 썬 붉은 고추(3g)
육수 닭가슴살(50g), 대파(20g), 마늘(10g)
양념 저염된장(5g), 다진 마늘(5g)"
완자된장국,국&찌개,,174.4,6.28,3.64,2.25,229.1,,"재료 감자(20g), 애호박(15g), 쪽파(5g), 양파(5g), 부추(2g)
두부(15g), 대파(2g), 고추(5g), 표고버섯(5g), 당면(2g)
숙주(5g), 브로콜리(10g), 다진 돼지고기(35g)
양념 다진 마늘(10g), 녹말가루(5g), 된장(8g), 날콩가루(3g)"
산나물된장찌개,국&찌개,,156.2,3.86,2.83,1.13,456.5,곤드레나물,"재료 곤드레나물(25g), 고구마순(10g), 취나물(20g), 애호박(20g), 양파(10g)
청양고추(3g), 대파(1g), 순두부(40g)
저염재래된장 콩(백태, 5g), 표고버섯(5g), 저염된장(10g), 날콩가루(10g)
육수 물(250g), 멸치(2g), 다시마(2g)
양념 다진 마늘(1.5g), 고춧가루(2g), 들깻가루(3g)"
토마토요구르트된장국,국&찌개,,131.8,3.12,2.29,1.06,568.6,,"재료 표고버섯(15g), 팽이버섯(35g), 양송이(30g), 새송이버섯(17g)
양파(25g), 대파(3g), 청양고추(3g), 토마토(25g)
된장양념 콩가루(5g), 요구르트(15g), 저염된장(10g)
육수 멸치(2g), 다시마(1g), 물(400g)
양념 다진 마늘(2g), 고춧가루(0.7g), 들깻가루(8g)"
굴림만두된장국,국&찌개,,134.5,5.2,5.38,1.45,276.1,가슴살,"재료 풋고추(1g), 붉은 고추(1g), 애호박(5g), 팽이버섯(5g), 두부(20g)
굴림만두 새송이버섯(10g), 닭가슴살(25g), 양파(40g), 마늘(8g), 부추(4g)
두부(25g), 간장(5g), 녹말가루(15g), 밀가루(15g)
육수 돼지고기(앞다리살, 100g), 무(70g), 양파(40g), 대파(40g)
저염된장(10g), 물(400g)"
해물순두부된장찌개,국&찌개,,163.6,4.63,4.87,1.39,677.9,,"재료 바지락(5g), 주꾸미(60g), 마른 미역(1g), 마른 표고버섯(10g)
순두부(80g), 대파(5g)
육수 멸치(2g)
양념 된장(7g), 콩가루(10g)"
곤약함박스테이크,일품,,381,14.73,6.85,4.66,260.1,,"재료 새송이버섯(10g), 가지(10g), 브로콜리(15g), 양파(10g), 파프리카(30g)
방울토마토(15g), 아스파라거스(10g), 올리브유(10g), 어린잎채소(5g)
스테이크반죽 곤약(80g), 두부(80g), 쇠고기(40g), 양파(5g), 당근(5g)
셀러리(5g), 마늘(2g), 대파(3g), 맛술(7.5g), 후춧가루(2g)
찹쌀가루(30g), 빵가루(20g), 달걀(10g)
유자청간장소스 유자청(20g), 저염간장(5g), 물(30g)"
청국장 두부 검은깨 냉스프,일품,,270,24,16,12,771,,"냉스프
두부 120g(1/3모), 플레인요거트 70g(1개), 검은깨 8g(1⅔작은술)
고명
청국장가루 10g(1큰술)"
가지볶음밥,밥,,644.9,20.15,3.33,1.14,505.1,,"재료 단호박(100g), 양파(30g), 석박지(35g), 파프리카(40g), 가지(90g)
두부(50g), 밥(180g), 세발나물(10g)
양념 다진 마늘(5g), 저염된장(12g), 후춧가루(0.3g), 들기름(4g)"
닭고기볶음밥,밥,,622.5,30.8,4.73,3.92,121,,"재료 쌀(80g), 완두콩(10g), 닭고기(100g), 대추(10g), 수삼(20g)
양파(20g), 당근(10g)
양념 강황가루(3g), 맛술(15g)"
토마토라면,일품,,190.4,4.9,1.1,1,423.2,,"재료 애호박(30g), 양파(20g), 청양고추(5g), 대파(5g), 토마토(300g)
라면스프(3g), 라면(100g)
육수 다시마(2.5g), 멸치(2.5g), 무(10g), 물(250g)"
토마토샐러드라면,일품,,360.6,17.23,6.55,3.59,241.7,가슴살,"재료 양상추(80g), 치커리(15g), 굵은 면발 라면(55g), 삶은 닭가슴살(50g)
방울토마토(15g), 파슬리가루(0.1g)
소스 설탕(2g), 식초(1.5g), 레몬즙(1g), 저염간장(3g), 다진 마늘(1g)
다진 토마토(50g), 다진 양파(4g), 올리브유(1.5g)"
검은깨라면크로켓,후식,,396.9,22.8,9.11,11.17,158,,"재료 검은깨(8g), 빵가루(80g), 라면(50g), 달걀(45g), 녹말가루(15g)
다진 쇠고기(40g), 다진 땅콩(5g), 어린잎채소(2g), 방울토마토(20g) 소스 통계피(20g), 생강(10g), 조청(10g), 물엿(20g), 흑설탕(20g)
발사믹드레싱 발사믹식초(15g), 올리브유(5g)"
김말이두부스테이크,반찬,,279.4,23,18.2,12.7,22.8,레드와인,"두부 100g, 김 2g, 허브소금 1g
소 : 다진쇠고기 20g, 양파20g, 표고버섯10g, 새송이버섯 10g, 밀가루 10g, 흰후추 0.3g
곁들이채소 : 고구마 50g, 단호박 50g, 양파 70g, 아스파라거스 10g
레드와인소스 : 레드와인 25g, 토마토 20g, 마늘 3g, 버터 5g, 올리브유 20g, 허브소금 1g
발사믹식초 15g"
연어롤샐러드,반찬,,208.5,1.1,19.5,14,51,방울토마토,"연어 60g, 단호박 50g, 방울토마토 4개, 시금치 50g, 영양부추 50g
소스 : 잣 5g, 더덕 45g, 마늘 5g, 식초 15g, 올리브오일 30g, 다진홍고추 15g"
비타민이유식,일품,,115.9,21.9,2.8,1.9,64.1,,"멜론 300g, 브로콜리 30g, 감자 60g, 요거트 15g, 설탕 5g"
한입꼬치구이,반찬,,289.9,9,12.1,22.9,33.7,삼겹살,"통삼겹 200g, 고구마 100g,
대파 40g, 2가지색 미니파프리카 40g, 청피망 40g, 양송이 40g, 건고추 3g,
어간장 10g, 통후추 1g, 로즈마리 1g. 마늘기름 15g
소스 : 오렌지주스 100g, 레몬즙 15g, 올리고당 15g, 후추 1g, 다진마늘 10g"
간장곤약볶음국수,일품,,133,18.3,1.2,6.1,343.1,,"곤약국수 200g, 사과 60g, 레몬즙 15g
볶음양념 : 맛간장 30g, 다진생강 3g, 다진양파 15g, 버터 10g
소스 : 다진양파 10g, 흑임자 7g, 플레인요거트 30g, 그라놀라 30g, 꿀 10g"
닭가슴살리조또,밥,,388.5,46.7,17.1,14.8,73.1,가슴살,"닭가슴살 100g, 찰보리 50g, 찹쌀 50g, 청피망 50g, 표고버섯 30g, 청양고추 10g, 양파 60g
다진마늘 15g, 홍피망 50g, 생크림 30g, 우유 30g, 올리브오일 50g, 함초소금 2g
고명 : 건조토마토 10g"
녹차귀리라떼,후식,,150.8,10.4,5.3,9.8,62.4,,"브로콜리 60g, 귀리 30g, 닭육수 250ml, 우유150ml
녹차가루 10g, 아몬드슬라이스 20g, 무염버터 5g, 흰후추 3g, 소금 0.5g
우유 50ml, 생크림 50ml, 다진양파 15g"
계란숙샐러드,반찬,,96.2,6.5,53.9,5.2,112.5,,"달걀 120g, 쇠고기 50g, 게맛살 20g, 감자 1개, 천연조미료 5g, 물 200g
브로콜리 50g, 방울토마토 60g, 미니파프리카 25g, 영양부추 5g
소스 : 매실청 30g, 발사믹식초 15g, 올리브오일 15g, 후추 1g, 식초 15g"
한식풍닭가슴살스테이크,일품,,191.5,10,24.4,6,294,가슴살,"닭가슴살 280g, 미나리 50g, 쌀 50g, 청경채 60g
무조림 : 무 150g, 맛간장 15g, 고춧가루 15g, 다진마늘 5g, 물 200g
소스 : 된장 15g, 매실청 15g, 들기름 10g, 다진양파 10g, 검은깨 5g, 다진마늘 5g"
강황고구마밥,밥,,251.1,54.1,4.3,1.9,164.7,,"쌀 100g, 강황가루 15g, 고구마 50g, 닭육수 300g
양념장 : 영양부추 10g, 다진청고추 15g, 다진홍고추 15g, 다진양파 15g, 간편 어간장 15g"
된장시금치옹심이,국&찌개,,167.3,25.1,14.9,0.8,771,,"시금치 150g, 감자 80g, 애호박 30g, 당근 20g, 양파 50g
청고추 15g, 홍고추 15g, 밀가루 30g
국물 : 바지락 100g, 저염된장 25g, 볶은소금 1g"
두부달걀덮밥,밥,,669.4,19.35,3.91,6.2,311.6,,"재료 두부(50g), 가지(20g), 표고버섯(30g), 양파(10g), 달걀(15g)
밥(200g), 가다랑어포(1g)
육수 재료 물(200g), 다시마(1g), 가다랑어포(1g)
양념 후춧가루(0.1g), 녹말가루(1g), 청주(1g), 설탕(1g), 간장(2g), 녹말물(18g)"
봄나물밥,밥,,264.6,30.45,3.85,1.09,147.4,,"재료 현미(25g), 멥쌀(50g), 쑥갓(20g), 두릅(20g), 달래(10g)
두부장 두부(15g), 고추장(5g), 된장(5g), 다시마육수(50g)"
가지연어구이,반찬,,318.2,9.85,15.8,6.19,83.4,,"재료 가지(40g), 토마토(20g), 연어(200g), 파슬리가루(1g)
올리브유(5g), 마늘(10g)
소스 사과(20g), 유자청(30g), 레몬즙(5g)"
갈릭칩동태구이,반찬,,141.8,6.74,20.4,3.82,232.3,,"재료 동태포(150g), 통마늘(10g)
양념 맛술(10g), 저염된장(10g)"
고구마두부스테이크,반찬,,741.4,20.8,7.8,11,216.6,,"스테이크재료 두부(200g), 고구마(130g), 마늘(15g), 대파(20g)
양파(60g), 다진 견과류(20g), 찹쌀가루(30g)
청국장소스 양송이버섯(20g), 다시마육수(80g), 청국장(15g)
유 자청(10g), 녹말가루(5g)"
닭가슴살카나페,반찬,,281.4,16.6,14.8,1.96,202.1,가슴살,"재료 고구마(100g), 우유(110g), 백김치(40g)
비트(40g), 닭가슴살(100g)
후춧가루(0.3g), 새싹(1g), 바나나식초(80g)"
삼색꼬치구이,반찬,,255.4,9.12,11.9,6.14,57,목살,"재료 돼지고기(목살, 120g), 파인애플(30g), 브로콜리(20g), 방울토마토(40g)
배사과소스 배(30g), 사과(50g), 레몬즙(5g), 꿀(5g)"
꽁치채소말이,반찬,,523,10.3,13.7,12.6,93.7,,"재료 꽁치살(200g), 마늘종(30g), 양파(40g), 파프리카(100g)
밀가루(30g), 깻잎(3g), 무순(8g), 새싹(8g)
오렌지소스 오렌지(200g), 레몬즙(15g), 설탕(0.3g), 고운 소금(0.3g)"
차돌박이구이,반찬,,210.2,9.64,8.88,8.33,32,차돌박이,"재료 연근(30g), 미나리(20g), 오렌지(50g), 오렌지주스(50g)
차돌박이(60g), 어린잎채소(10g)
홍초물 설탕(5g), 홍초(20g), 물(10g)"
간장아귀찜,반찬,,100.5,1.15,15.1,0.76,119.3,,"재료 아귀(150g), 새우(20g), 미나리(15g), 풋고추(5g), 붉은 고추(5g)
콩나물무침 콩나물(30g), 참기름(3g), 참깨(1g)
간장소스 설탕(1g), 저염간장(3g), 청주(15g), 다시마물(50g)
아귀찜양념 다진 양파(50g), 다진 생강(5g), 다진 마늘(10g)"
견과류통삼겹살찜,반찬,,745.4,6,14.9,29,282.4,삼겹살,"재료 돼지고기(통삼겹살, 200g), 땅콩(15g), 아몬드(5g), 말린 자두(15g)
호두(15g), 새우젓(5g), 마늘(20g), 파프리카(45g), 부추(15g)
돼지고기 밑간 간장(5g), 참기름(5g), 후춧가루(1g)
양념 들기름(5g), 고춧가루(5g)
소스 설탕(15g), 맛술(10g), 간장(5g), 닭육수(50g), 다진 마늘(5g)
다진 양파(10g), 다진 생강(5g), 다진 당근(5g)"
닭가슴살말이,반찬,,233.1,3.98,2.22,3.59,113.6,가슴살,"재료 닭가슴살(150g), 당근(10g), 시금치(10g)
마른 표고버섯(10g), 간장(5g), 참기름(3g), 견과류(16g)
단촛물 설탕(3g), 식초(10g)
겨자소스 설탕(28g), 발효겨자(28g), 식초(28g), 다진 잣(4g), 다진 땅콩(4g), 참깨(4g)"
두부말이찜,반찬,,250.6,19.4,1.64,5.51,90.5,가슴살,"재료 두부(150g), 불린 표고버섯(50g), 닭가슴살(100g)
톳(50g), 깻잎(10g), 참기름(5g)
반죽양념 다진 파(10g), 다진 마늘(10g), 부순 참깨(5g)
레몬소스 설탕(2g), 레몬즙(3g), 간장(0.5g), 식초(2g)"
미나리명태찜,반찬,,119.4,0.03,19.9,1.03,137.3,,"재료 미나리(20g), 명태(150g), 후춧가루(0.1g)
레몬소스 설탕(7g), 레몬(108g), 식초(6g), 저염간장(4g)"
불고기덮밥,밥,,332.5,58.3,12.6,5.4,192.5,,"쌀밥 200g, 소불고기 150g, 양파 60g, 청고추 15g, 홍고추 18g
팽이버섯 20g, 계란 60g, 쪽파 15g, 마늘기름 30g, 통깨 5g
양념장 : 맛간장 15g, 생강청 15g, 다진마늘 10g, 다진대파 10g, 흰후추 1g, 참기름 5g"
바비큐리조또,밥,,301,39.4,10.5,11.2,269.9,삼겹살,"통삼겹 200g
조림장 : 맛간장 30g, 통후추 2g, 발사믹식초 30g, 흰후추 1g
청국장리조뜨 : 밥 150g, 청국장가루 15g, 야채육수 200g, 감자 30g
올리브오일 15g, 영양부추 20g
곁들이채소 : 적양배추 30g, 사과 70g, 마늘 25g, 올리브오일 10g"
간편콩국수,일품,,229.9,26.2,12.3,8.4,183.4,,"메밀면 80g, 백일송이 25g, 마늘기름 15g, 통깨 2g, 볶은소금 1g
고명 : 애호박 50g, 양파 50g, 청고추 15g, 홍고추 15g
국물 : 두유 200g, 두부 60g"
모듬해물찜,반찬,,156.3,12,21,2.7,1010.5,,"전복 200g, 자숙새우 60g, 소라살 45g, 알마늘 20g, 대파 15g
청고추 15g, 홍고추 15g, 홍피망 15g, 양파 50g
양념장 : 멕시코고추 2g, 맛간장 30g, 올리고당 15g, 참기름 15g, 흰후추 1g, 물 200g"
크렌베리귀리밥,밥,,494.2,104.3,9.6,4.3,22.4,,"백미 150g, 크렌베리 15g, 귀리 20g"
블루베리냉스프,일품,,115.7,20.6,2.2,2.7,32.8,,"검은콩두유 50g, 꿀 15g, 딸기 20g, 블루베리 20g
저지방우유 50g, 볶은현미 20g, 바나나 50g
고명 : 브로콜리 15g, 라이스페이퍼 1장, 건조체리 15g"
토마토제철나물 샐러드,반찬,,80,9,0.5,4.3,72.3,,"영양부추 20g, 치커리 20g, 적양배추 50g, 알배추 30g, 방울토마토 100g, 양파70g
두부크루통 : 두부 60g, 식용유 20g
소스 : 마늘 7g, 참깨 5g, 흑임자 5g, 꿀 15g, 참기름 15g, 맛간장 45g, 레몬즙 15g, 식초 5g"
브로콜리스프,일품,,134.5,8.7,3,9.8,112.9,방울토마토,"닭육수 200g, 양송이버섯 30g, 브로콜리 50g, 생크림 50g, 함초소금 1g
고명 : 바케트 20g
청양고추버터 : 청양고추 1개, 버터 15g, 방울토마토 20g, 설탕 15g"
초계샐러드,반찬,,116.8,5,14.2,4.5,63.9,가습살,"닭가슴살 250g, 달걀 60g, 오이 25g, 피망 25g, 파프리카 25g, 시금치 50g
소스 : 잣 20g, 식초 15g, 연겨자 15g, 설탕 15g, 참깨 15g, 흰후추 1g
고명 : 대추 10g"
토마토맑은장국,국&찌개,,32.9,5.3,1.6,0.6,249.5,,"방울토마토 100g, 일식 된장 25g, 닭육수 250g, 시금치 30g, 알배추 25g
고명 : 팽이버섯 5g"
매생이찰범벅,밥,,122.3,23.7,3.7,1.4,64.3,,"우유100g, 매생이 20g, 찹쌀 15g, 단호박 50g
밤 30g, 녹차소금 1g, 멸치육수 150g"
통삼겹맥적구이,반찬,,397.2,4.1,14.8,35.7,120.6,삼겹살,"통삼겹 250g, 닭육수 400g
구이소스 : 저염된장 15g, 꿀 30g, 청주 15g, 참기름 15g, 다진마늘 10g, 다진대파 5g, 통깨 10g
샐러드 : 수삼 1개(20g), 알배추 35g, 당근 30g
샐러드소스 : 식초 30g, 다진마늘 15g, 참기름 15g, 맛간장 15g"
닭가슴살샌드스테이크,반찬,,187.9,4.8,22.6,8.7,54.1,가슴살,"닭가슴살 150g, 시금치 30g, 양파 60g, 콜리플라워 30g
브로콜리 100g, 양송이 30g, 방울토마토 100g,
닭육수 200g, 다진마늘 5g, 버터 15g, 흰후추 1g, 올리브오일 15g
소스 : 버터 5g, 꿀 30g, 오렌지주스 200g, 레몬즙 15g, 흰후추 1g"
치즈리조또,밥,,370.8,57.1,9,11.8,166.1,,"단호박 50g, 우유 180mg, 유기농 아기치즈 27g
멥쌀 60g, 생 표고버섯 15g, 참기름 5g, 볶은소금 1g"
가지말이샐러드,반찬,,89,9.1,2.9,4.6,58,,"가지 250g, 감자 50g, 미니파프리카 30g, 양파 40g, 마늘튀김 15g
소스 : 홀그레인머스터드 15g, 올리브오일 30g, 다진마늘 15g, 설탕 5g
올리고당 15g, 레드와인 30g
곁들이채소 : 어린채소 30g
고명 : 파마산치즈"
유자등갈비구이,반찬,,433.3,42.6,15.4,22.4,167.6,,"등갈비(150g), 월계수잎(2g), 생강(10g), 통후추(3g)
식용유(10g), 마늘(20g)m 적양배추(20g), 양파(20g)
당근(20g)
- 소스 : 유자청(30g), 사과(20g), 밤(10g), 생크림(10g)
설탕(10g), 소금(0.2g), 식초(10g)"
실곤약팟타야,일품,,147.2,11.6,13.1,5.4,212.4,,"실곤약(120g), 소고기(50g), 숙주(50g)
양파(20g), 청피망(10g), 홍고추(10g)
- 소스 : 굴소스(20g), 다진 마늘(10g), 액젓(10g)"
닭고기라이스롤,반찬,,272.9,20.6,33,6.5,439.1,,"닭고기(100g), 우유(50g), 후춧가루(0.02g), 수수(20g)
쌀(50g), 파프리카(20g), 당근(20g), 양파(20g)
애호박(20g), 소금(0.5g), 식용유(5g)
- 소스 : 토마토(20g), 다진 마늘(10g), 케첩(20g), 육수(100g)"
깐풍파스타,일품,,686.1,69.8,28.3,32.7,206.4,뽕잎분말,"밀가루(200g), 뽕잎가루(10g), 백년초가루(10g)
호박가루(10g), 올리브오일(10g), 닭고기(200g), 생강(5g)
정종(10g), 소금(0.5g), 후춧가루(0.02g), 녹말가루(50g)
달걀(50g), 튀김기름(400g)
- 소스 : 크림소스(30g), 설탕(10g), 파프리카(20g)
청피망(20g), 깻잎(10g)"
닭강정,반찬,,573.1,22.4,29.1,40.8,377.9,,"닭고기(200g), 카레가루(20g), 녹말가루(10g),
튀김기름(400g), 저염간장(20g), 레몬즙(10g), 설탕(10g)
꿀(10g), 다진마늘(10g)
- 소스 : 요거트(20g), 양파(20g), 당근(20g), 파프리카(20g)
오이(20g), 케첩(10g)"
소고기꼬치구이,반찬,,412.3,24.3,33.2,20.3,284.3,,"소고기(100g), 소금(0.5g), 후춧가루(0.02g), 인삼(20g)
올리브오일(5g), 파프리카(20g), 파인애플(30g)
표고버섯(20g), 대파(30g), 토마토(20g), 베이컨(30g)
마늘(20g), 꼬치(3개)
- 소스 : 유자청(50g), 저염간장(10g), 레몬(10g), 설탕(10g)"
황태볶음면,일품,,601.6,67.4,16.8,29.4,473.5,,"황태(100g), 새우(20g), 오징어(30g), 굵은 소금(5g)
양파(20g),마늘(10g), 대파(20g), 표고버섯(10g), 양배추(20g)
라면(70g), 숙주(30g), 올리브오일(10g), 마요네즈(5g)
설탕(10g)
- 볶음간장 : 다시마(5g), 생강즙(5g), 저염간장(20g)"
토마토덮밥,밥,,379.3,71.1,15.6,3.6,181.2,,"쌀(100g), 가지(50g), 새우(20g)
- 소스 : 양파(20g), 마늘(10g), 올리브오일(10g)
토마토소스(20g), 케첩(20g), 토마토(80g), 설탕(5g)
- 곁들임채소 : 어린잎(5g)"
표고크림파스타,일품,,332.5,54.6,10.8,7.8,107,스파게티면,"양송이(20g), 표고버섯(80g), 소금(0.5g), 후춧가루(0.02g)
스파게티(100g), 올리브오일(10g)
- 크림소스 : 밀가루(10g), 버터(10g), 우유(200g)
생크림(20g)"
떡갈비통치미국수,일품,,242.1,45.8,10.3,2,448.3,건국수,"동치미(400g), 배(30g), 식초(10g), 다진 소고기(30g)
오이(20g), 당근(20g), 양파(10g), 후춧가루(0.2g), 정종(2g)
설탕(10g), 저염간장(5g), 다진 마늘(10g), 다진 대파(10g)
매실액(3g), 참기름(2g), 통깨(2g), 국수(100g), 식용유(5g)
- 곁들임채소 : 오이(20g), 당근(20g), 양파(10g), 후춧가루(0.2g)
정종(2g), 설탕(10g), 저염간장(5g)"
백김치닭살샐러드,반찬,,113.1,7.4,18.9,0.9,232.1,백김치,"닭고기(80g), 월계수잎(1장), 통후추(2g), 정종(10g)
백김치(100g), 토마토(30g), 파프리카(20g), 당근(20g)
브로컬리(20g), 양상추(50g)
- 소스 : 발사믹식초(20g), 설탕(20g), 올리브오일(20g)
소금(0.1g)"
단호박크림파스타,일품,,236.6,40.9,8.8,4.2,205.1,,"단호박(150g), 파스타(80g), 소금(0.2g)
다진 마늘(10g), 버터(10g), 베이컨(20g), 양송이(20g)
양파(20g), 육수(100g), 우유(50g), 생크림(20g)"
견과편수,반찬,,416.3,49.8,38.9,6.8,104.5,닭가슴살,"흑임자(20g), 밀가루(200g), 우유(100g), 닭가슴살(100g)
후춧가루(0.01g), 다진 마늘(10g), 부추(20g), 양파(20g)
다진 대파(10g)
- 육수 : 마(20g), 바나나(30g), 머스터드(10g), 캐슈넛(20g)
잣(10g), 우유(100g)"
바지락실곤약파스타,일품,,53.5,8.9,3.3,0.5,165.8,,"바지락(100g), 브로컬리(20g), 소금(2g), 마늘(10g)
파프리카(20g), 청양고추(10g), 올리브오일(5g)
실곤약(100g), 후춧가루(0.1g)
- 곁들임채소 : 어린싹(10g)"
황태리조또,밥,,292.3,5.4,29.1,17.1,504.9,,"두부(100g), 소금(0.2g), 홍합(50g), 버터(5g), 황태(100g)
육수(100g), 생크림(20g)
달걀(10g), 참기름(5g), 통깨(5g)"
깻잎애호박찜,반찬,,38.5,6.2,2,0.6,329.2,저염간장,"애호박(1개), 깻잎(3장), 양파(30g), 피망(30g), 파프리카(50g),
저염간장(50g), 매실액(20g)"
녹차와 대추밀전병,반찬,,220.9,30.1,9.9,6.8,33.8,등심,"소고기(등심, 120g), 오이(50g), 당근(30g), 양파(30g),
표고버섯(1개), 대추(5알), 계피가루(10g), 밀가루(200g),
녹차가루(30g), 달걀(1개), 잣(5알), 저염간장(30g)"
단호박 된장매쉬와 해물굴림만두,일품,,96.7,10.2,11.3,1.2,414.6,우둔살,"소고기(우둔살, 50g), 새우(3마리), 흰살생선(100g),
단호박(1/2개), 고구마(50g), 녹말(10g), 달걀(1개),
된장(30g), 소금(0.1g)"
닭순대,반찬,,298.3,17,51.9,2.5,256.7,닭가슴살,"닭고기(가슴살, 200g), 당면(50g), 달걀(1개), 부추(20g),
밀가루(10g), 저염간장(10g), 당근(30g), 참기름(5g),
후춧가루(0.01g), 소금(0.2g)"
도라지 유자청생채,반찬,,133.3,30.6,2.5,0.1,217.8,,"도라지(120g), 풋고추(1개), 홍고추(1개), 양파(30g),
라임주스(20g), 흑임자(20g), 유자청(30g), 소금(0.2g)"
돼지고기 숙주덮밥,밥,,497.2,95.6,18.1,4.7,143.4,,"돼지고기(100g), 밥(200g), 숙주(50g), 표고버섯(1개),
팽이버섯(20g), 양파(30g), 무(50g), 다시마(10g),
가쓰오부시(10g), 달걀(1개), 쪽파(10g), 저염간장(20g),
소금(0.1g), 후춧가루(0.01g)"
두부스테이크,일품,,308.8,8.7,19,22,60.7,,"두부(200g), 양파(30g), 새송이버섯(1개), 달걀(1개), 케일(1장),
당근(20g), 토마토(100g), 칵테일새우(30g), 레몬(1/4개),
파인애플(50g), 마늘(10g), 올리브오일(20g), 소금(0.2g)"
들깨곤약수제비,일품,,137.7,7.5,6.1,9.3,51.4,,"곤약(150g), 표고버섯(1개), 새송이버섯(1개), 들깨가루(200g),
사골육수(400g), 마늘(5g), 식초(0.3g)"
먹물소스를 곁들인 토마토피클,반찬,,140.9,33.2,1.6,0.2,73.2,,"마(50g), 우엉(50g), 토마토(200g), 배(1/2개), 새싹(10g),
피클링스파이스(10g), 와인(20g), 먹물(10g), 설탕(50g),
식초(30g), 소금(0.2g)"
묵은지고등어와 새우말이꼬치,반찬,,403,22.3,41.5,16.4,1199.1,,"고등어(1마리), 새우(5마리), 새송이버섯(1개), 당근(30g),
미나리(20g), 깻잎(2장), 가지(20g), 오이(30g), 아몬드(20g),
마늘(20g), 파프리카(50g), 어린잎(10g), 양상추(30g), 땅콩(10g),
묵은지(200g)"
버섯배추말이,반찬,,95.4,17.3,5.4,0.5,500,,"배추(5장), 양배추(20g), 표고버섯(2개), 만송이버섯(50g),
미나리(30g), 다시마(20g), 식초(20g), 설탕(20g), 소금(0.2g),
저염간장(20g)"
봄날의 연못,반찬,,191.1,26.5,20.3,0.4,318.5,,"문어(100g), 양파(30g), 오이(30g), 배(1/4개), 토마토(50g),
유자청(30g), 레몬(1/4개), 올리브오일(10g), 라임(1/2개)"
산나물 유부초밥,밥,,304,51.8,10.4,6.1,72.8,,"취나물(50g), 참나물(30g), 곤드레나물(30g), 유부(50g),
쌀(200g), 식초(20g), 설탕(30g), 소금(0.2g), 토마토(30g)"
삼삼한 롤,반찬,,323.6,9.7,33.7,16.7,189.8,,"연어(훈제연어, 120g), 양파(30g), 아보카도(1/4개), 당근(30g),
감자(50g), 새송이버섯(1개), 레몬(1/4개), 사워크림(50g),
소금(0.2g)"
